miRNA,mean_expression
hsa-mir-21,235109.98638218825
hsa-mir-10b,84465.57435478589
hsa-mir-30a,74276.67028892707
hsa-mir-22,71650.13375101176
hsa-mir-148a,57339.129239381175
hsa-mir-143,47926.72568316
hsa-mir-182,43728.93976410118
hsa-mir-99b,43080.78180497177
hsa-mir-10a,32428.913468597646
hsa-let-7b,28235.869749355297
hsa-mir-375,22842.351438056467
hsa-mir-183,16650.744774915296
hsa-mir-30e,13753.06197464
hsa-mir-200c,11894.321193209413
hsa-let-7a-3,11479.649255901177
hsa-let-7a-1,11414.511124795294
hsa-let-7a-2,11388.680567094118
hsa-mir-103a-2,10434.826038745883
hsa-mir-103a-1,10432.884651404707
hsa-mir-25,10100.639430032943
hsa-mir-30d,8655.710723908234
hsa-mir-203a,6985.45608932
hsa-mir-93,5691.196328588236
hsa-mir-101-2,5563.511109407059
hsa-mir-101-1,5541.060206282354
hsa-mir-29a,5143.781944148236
hsa-mir-199b,4773.482631315294
hsa-mir-92a-1,4731.713908614118
hsa-mir-28,4439.704935607059
hsa-mir-92a-2,4268.8446358
hsa-let-7f-2,3908.6164302399998
hsa-let-7f-1,3850.1603921458827
hsa-mir-126,3822.1827871294117
hsa-mir-199a-2,3776.908710912941
hsa-mir-100,3747.3814319458825
hsa-mir-23a,3446.6085108635293
hsa-mir-142,3298.811194061176
hsa-mir-205,3180.73153901647
hsa-let-7c,2866.433029037647
hsa-mir-151a,2307.443172350588
hsa-mir-199a-1,2272.7640893482353
hsa-mir-29c,2067.9138566917645
hsa-mir-141,2012.8406701741176
hsa-mir-145,1954.6951154847059
hsa-mir-181a-2,1633.0081492141176
hsa-mir-1307,1323.5293500258822
hsa-mir-191,1249.2202744541175
hsa-let-7e,1228.7816307058824
hsa-mir-9-3,1191.2389457882352
hsa-mir-9-1,1188.694329087059
hsa-mir-9-2,1187.0286880305882
hsa-mir-181a-1,1136.6142390941177
hsa-mir-125a,1114.9580030470588
hsa-mir-27a,1097.446820247059
hsa-mir-150,1077.277333315294
hsa-mir-26a-2,1011.8934604305883
hsa-mir-26a-1,1011.0110169623529
hsa-mir-127,969.7029884094118
hsa-mir-200a,959.8746656188235
hsa-mir-99a,909.3458573341177
hsa-mir-23b,869.9972599976471
hsa-mir-140,855.7452130917648
hsa-mir-379,847.4865690682353
hsa-mir-26b,836.0785369223529
hsa-mir-374a,776.1851226070589
hsa-mir-532,769.806179472941
hsa-mir-146b,769.0215820611766
hsa-mir-200b,746.2248186705882
hsa-mir-24-2,739.6290112047059
hsa-mir-210,722.6530898870589
hsa-mir-24-1,721.3004559129411
hsa-mir-17,714.8576360964706
hsa-mir-27b,682.9122077105882
hsa-let-7g,649.6850955576472
hsa-mir-30b,635.0848527294118
hsa-mir-30c-2,606.6948146847059
hsa-mir-106b,605.7766693482354
hsa-mir-320a,594.9629277105882
hsa-let-7d,593.0272555388236
hsa-let-7i,559.6389261529412
hsa-mir-342,548.5316440682353
hsa-mir-30c-1,527.3487751694117
hsa-mir-192,525.5204116541177
hsa-mir-155,501.51009398823527
hsa-mir-193a,489.0297883529412
hsa-mir-125b-2,488.75103787294125
hsa-mir-425,473.21959033882354
hsa-mir-125b-1,470.20723131764703
hsa-mir-134,451.4929610658823
hsa-mir-196a-2,451.35493953176467
hsa-mir-378a,440.54525471058827
hsa-mir-29b-2,418.66059484705875
hsa-mir-451a,396.47275956
hsa-mir-196a-1,385.3909882917647
hsa-mir-197,382.99877578823526
hsa-mir-16-2,378.9729067411765
hsa-mir-196b,378.0912887952941
hsa-mir-16-1,372.6160470988235
hsa-mir-338,369.94370710823534
hsa-mir-361,355.4502633505883
hsa-mir-29b-1,355.2342102752941
hsa-mir-186,354.7856192941176
hsa-mir-455,300.59382204
hsa-mir-542,274.1479748352941
hsa-mir-625,272.75840632941174
hsa-mir-20a,269.2619494635294
hsa-mir-152,268.187212517647
hsa-mir-500a,260.5350827364706
hsa-mir-15b,253.5700849976471
hsa-mir-181b-1,227.6480530941176
hsa-mir-148b,221.26436989176472
hsa-mir-181b-2,204.95615690117648
hsa-mir-149,202.20396176235295
hsa-mir-423,187.6876534682353
hsa-mir-582,175.5998150164706
hsa-mir-146a,174.79789595764706
hsa-mir-424,171.58583819294117
hsa-mir-34a,159.13022467764705
hsa-mir-15a,155.69851208705884
hsa-mir-193b,144.45903811058824
hsa-mir-223,141.5288072894118
hsa-mir-221,140.21220058117646
hsa-mir-708,138.3031025082353
hsa-mir-629,135.13936611058824
hsa-mir-429,131.2489473435294
hsa-mir-335,125.04266632470588
hsa-mir-365a,123.0220616
hsa-mir-365b,122.55327719764705
hsa-mir-92b,121.54036335294118
hsa-mir-574,119.33206388235294
hsa-mir-181c,115.07163384705883
hsa-mir-1269a,109.61272514117647
hsa-mir-184,104.58365096235295
hsa-mir-484,100.22912645176471
hsa-mir-194-2,100.13108506352943
hsa-mir-3607,95.7993804117647
hsa-mir-130a,92.03917293411767
hsa-mir-194-1,89.47580598352943
hsa-mir-132,88.61810036470588
hsa-mir-486-1,87.33558820705882
