miRNA,mean_expression
hsa-mir-21,234489.36902413273
hsa-mir-10b,88239.06181509313
hsa-mir-30a,73498.79956585914
hsa-mir-22,72459.46942330385
hsa-mir-148a,53590.53658939698
hsa-mir-143,46549.56285753201
hsa-mir-182,45883.98512182655
hsa-mir-99b,42967.26873648079
hsa-mir-10a,34855.3419248766
hsa-let-7b,29417.558407901048
hsa-mir-375,23030.036046251455
hsa-mir-183,17723.73287542957
hsa-mir-30e,13264.062082883587
hsa-mir-200c,11775.04107195227
hsa-let-7a-3,11186.026139169964
hsa-let-7a-1,11131.030847841677
hsa-let-7a-2,11100.756053955762
hsa-mir-103a-2,10309.016240464493
hsa-mir-103a-1,10306.99497330035
hsa-mir-25,10196.040255612339
hsa-mir-30d,8226.403278355065
hsa-mir-203a,7376.815045168802
hsa-mir-101-2,5519.17014319092
hsa-mir-101-1,5495.455319467987
hsa-mir-93,5438.397631100117
hsa-mir-29a,5040.6517267811405
hsa-mir-92a-1,4971.55415477532
hsa-mir-199b,4562.230724694994
hsa-mir-92a-2,4503.819389147847
hsa-mir-28,4409.6705488719435
hsa-mir-126,3750.131273736903
hsa-mir-100,3693.9000126647265
hsa-mir-199a-2,3588.97915851688
hsa-let-7f-2,3568.6916675192083
hsa-let-7f-1,3518.6725938009313
hsa-mir-23a,3461.8218060826543
hsa-mir-142,2996.5509064330618
hsa-let-7c,2864.7212513189756
hsa-mir-205,2799.009700017462
hsa-mir-151a,2320.3983589860304
hsa-mir-199a-1,2148.895094280559
hsa-mir-29c,2040.0003237636788
hsa-mir-141,1981.7834952037254
hsa-mir-145,1975.0894757357394
hsa-mir-181a-2,1588.10357408149
hsa-mir-1307,1354.1342646845167
hsa-mir-191,1219.0095504318977
hsa-mir-9-3,1200.0418400535507
hsa-mir-9-1,1197.8936931792782
hsa-mir-9-2,1196.414814926659
hsa-let-7e,1181.3806840162981
hsa-mir-27a,1089.4334895762513
hsa-mir-181a-1,1071.1576953131548
hsa-mir-125a,1068.586215410943
hsa-mir-150,1020.1955830966241
hsa-mir-200a,960.4094545296857
hsa-mir-26a-2,957.6704033538998
hsa-mir-26a-1,955.4868843038417
hsa-mir-127,909.9517850814901
hsa-mir-99a,903.9041731559953
hsa-mir-23b,825.1049242654249
hsa-mir-140,812.2415836402794
hsa-mir-379,798.1618293399301
hsa-mir-26b,780.2515228125727
hsa-mir-374a,754.8501290011641
hsa-mir-210,748.9310233224681
hsa-mir-17,736.1115930919675
hsa-mir-24-2,729.9076790616997
hsa-mir-200b,729.4975693538998
hsa-mir-24-1,710.1019563818393
hsa-mir-532,708.56797369383
hsa-mir-146b,705.1569535227007
hsa-mir-27b,645.8206067532013
hsa-mir-106b,619.0438123259604
hsa-let-7g,618.4206427706637
hsa-mir-30c-2,599.1533566589056
hsa-let-7d,592.4749398963912
hsa-mir-320a,574.898983467986
hsa-mir-192,559.8495620442376
hsa-mir-30b,553.4917082107102
hsa-let-7i,541.5929343050058
hsa-mir-342,526.2622924714785
hsa-mir-30c-1,525.6365767834692
hsa-mir-193a,522.159294677532
hsa-mir-451a,463.6118177788126
hsa-mir-125b-2,462.9526877369034
hsa-mir-155,461.46530733527356
hsa-mir-196a-2,461.03980491152504
hsa-mir-425,458.6248696798603
hsa-mir-125b-1,442.44951011990685
hsa-mir-134,429.1949702305006
hsa-mir-378a,412.9750216949942
hsa-mir-29b-2,398.4853521233993
hsa-mir-196a-1,395.50089005937133
hsa-mir-338,389.1764752363214
hsa-mir-16-2,385.86318117578577
hsa-mir-16-1,380.1830604016298
hsa-mir-196b,379.11547744935973
hsa-mir-197,370.0566939790454
hsa-mir-186,346.59086441792783
hsa-mir-361,344.9946437473806
hsa-mir-29b-1,335.8858020942957
hsa-mir-455,290.8788046100117
hsa-mir-625,280.62837006752034
hsa-mir-20a,275.3134518894063
hsa-mir-542,268.34971297555296
hsa-mir-152,263.15532913154834
hsa-mir-15b,255.36963167869612
hsa-mir-500a,245.18716118742725
hsa-mir-148b,221.21825690686842
hsa-mir-181b-1,216.29181685564606
hsa-mir-181b-2,194.13810944703144
hsa-mir-582,183.44390900349245
hsa-mir-423,181.97563077299185
hsa-mir-149,176.16026364260767
hsa-mir-424,167.5952849650757
hsa-mir-146a,162.45782783585565
hsa-mir-34a,150.56332186961586
hsa-mir-15a,150.15292355529687
hsa-mir-193b,145.50593292549476
hsa-mir-223,137.37088652153668
hsa-mir-629,133.9601360942957
hsa-mir-429,133.6677471944121
hsa-mir-92b,132.36882597671712
hsa-mir-708,132.2234431734575
hsa-mir-335,126.52518868684517
hsa-mir-221,125.70857911641443
hsa-mir-365a,123.2127125250291
hsa-mir-365b,122.87101967636787
hsa-mir-574,113.79870323748546
hsa-mir-194-2,106.12892472991852
hsa-mir-181c,105.86204504074506
hsa-mir-144,104.94310882421419
hsa-mir-3607,100.12831544470315
hsa-mir-1269a,99.33728282072177
hsa-mir-486-1,98.78096670197905
hsa-mir-486-2,98.13703943771827
hsa-mir-484,96.78942565308499
hsa-mir-194-1,95.1115726565774
hsa-mir-184,89.10991263213036
hsa-mir-139,85.37015985098951
hsa-mir-130a,85.26848444470315
hsa-mir-128-1,84.22408525261933
hsa-mir-19b-1,83.82540257275902
hsa-mir-132,81.98122080675202
hsa-mir-19b-2,75.77380665192084
hsa-mir-452,71.78854453550639
hsa-mir-203b,68.15741732479627
hsa-mir-206,67.86135775902211
hsa-mir-589,67.62933272060535
hsa-mir-107,65.12885963562282
hsa-mir-185,64.93712784982537
hsa-mir-98,63.99776578346915
hsa-mir-374b,63.616151968568104
hsa-mir-3065,60.897085096623975
hsa-mir-584,60.81005317345751
hsa-mir-224,58.83664166821886
hsa-mir-339,57.40518259138533
hsa-mir-328,55.99505984633295
hsa-mir-128-2,55.95378220372527
hsa-mir-153-2,55.316923634458675
hsa-mir-195,55.128892324796276
hsa-mir-222,54.46272965541327
hsa-mir-505,54.280334838183926
hsa-mir-2355,52.06618297089639
hsa-mir-324,50.90175817462165
hsa-mir-501,50.871517845168796
hsa-mir-664a,49.45849550873108
hsa-mir-744,49.44213727473807
hsa-mir-675,49.127737770663565
hsa-mir-337,47.64421464493598
hsa-mir-187,46.180316536670546
hsa-mir-1247,44.90436323632131
hsa-mir-20b,43.24610679161816
hsa-mir-508,42.54952040395809
hsa-mir-1287,41.96234057508731
hsa-mir-628,41.02728018160652
hsa-mir-136,40.585250656577415
hsa-mir-409,40.38775940395809
hsa-mir-96,39.95380502211874
hsa-mir-7-1,39.715695419091965
hsa-mir-331,38.87752643888242
hsa-mir-214,38.67363535389988
hsa-mir-4662a,37.435312112922006
hsa-mir-652,35.370703665890574
hsa-mir-19a,34.819881513387664
hsa-mir-660,34.440928953434224
hsa-mir-1-2,34.264511868451685
hsa-mir-330,34.18760387194412
hsa-mir-653,33.19670861117579
hsa-mir-874,32.63596301396973
hsa-mir-1-1,32.121893107101286
hsa-mir-381,31.798202073341095
hsa-mir-497,31.726828036088474
hsa-mir-769,31.309759998835855
hsa-mir-32,30.219758479627476
hsa-mir-135b,28.546409469150174
hsa-mir-345,28.497003827706635
hsa-mir-130b,28.277712746216533
hsa-mir-340,27.761016958090803
hsa-mir-181d,26.82579654947613
hsa-mir-382,25.86693078928987
hsa-mir-106a,25.444741415599534
hsa-mir-654,25.11908815250291
hsa-mir-133a-1,25.025204005820715
hsa-mir-33a,22.393080910360883
hsa-mir-218-1,21.891001499417925
hsa-mir-133a-2,21.76391998137369
hsa-mir-301a,21.460132982537832
hsa-mir-122,21.353807131548308
hsa-mir-590,21.239720054714788
hsa-mir-190b,21.110160401629802
hsa-mir-218-2,20.678601930151338
hsa-mir-758,20.502255171129224
hsa-mir-217,19.476765001164143
hsa-mir-363,19.22089973573923
hsa-mir-450b,19.17112905704308
hsa-mir-1301,17.72993216065192
hsa-mir-503,17.706193292200233
hsa-mir-105-2,17.26293607683353
hsa-mir-105-1,17.13125900814901
hsa-mir-598,16.546827526193248
hsa-mir-1266,16.51290718160652
hsa-mir-3074,16.43059686146682
hsa-mir-577,15.937541445867287
hsa-mir-34c,15.281548540162982
hsa-mir-576,15.060766190919674
hsa-mir-18a,14.999825349243308
hsa-mir-5683,14.904075940628637
hsa-mir-483,14.220302449359721
hsa-mir-493,14.009127045401629
hsa-mir-3677,13.784123315483122
hsa-mir-1180,13.594087902211873
hsa-mir-615,13.490325459837019
hsa-mir-889,13.347761953434226
hsa-mir-431,13.261620420256111
hsa-mir-767,13.045722073341093
hsa-mir-3613,12.336610257275902
hsa-mir-539,12.312304246798602
hsa-mir-1269b,12.229736832363214
hsa-mir-454,12.166694303841677
hsa-mir-449a,12.140782644935973
hsa-mir-326,12.0814878451688
hsa-mir-362,11.974699210710128
hsa-mir-3653,11.313598492433062
hsa-mir-370,11.170111452852153
hsa-mir-1306,10.9975375774156
hsa-mir-4677,10.845398161816066
hsa-mir-369,10.79536036670547
hsa-mir-887,10.55695892549476
hsa-mir-511,10.321580690337601
hsa-mir-410,9.928091922002329
hsa-mir-6510,9.912127805587893
hsa-mir-133b,9.753294103608848
hsa-mir-3127,9.686616658905704
hsa-mir-766,9.606575966239813
hsa-mir-33b,9.304669579743889
hsa-mir-1976,9.047645137369035
hsa-mir-671,9.016865633294529
hsa-mir-31,8.915372956926658
hsa-mir-495,8.887146424912688
hsa-mir-934,8.698432435389988
hsa-mir-4326,8.518717254947614
hsa-mir-502,8.357189067520373
hsa-mir-154,7.847893636786962
hsa-mir-1468,7.626033586728754
hsa-mir-432,7.595263282887077
hsa-mir-1296,7.433596266589058
hsa-mir-215,7.057008854481957
hsa-mir-411,6.91849250523865
hsa-mir-412,6.538700447031431
hsa-mir-296,6.350113761350407
hsa-mir-323b,6.166069358556461
hsa-mir-509-3,5.93448228637951
hsa-mir-942,5.921314557625146
hsa-mir-940,5.902913473806752
hsa-mir-378c,5.711934896391153
hsa-mir-376c,5.677326626309662
hsa-mir-204,5.66147549476135
hsa-mir-450a-1,5.600083151338766
hsa-mir-450a-2,5.5090017112922
hsa-mir-487b,5.500496285215366
hsa-mir-3200,5.430845698486612
hsa-mir-485,5.397535932479628
hsa-mir-642a,5.384294059371363
