miRNA,mean_expression
hsa-mir-21,238853.84627304663
hsa-mir-10b,81834.02773401434
hsa-mir-30a,74744.49424873477
hsa-mir-22,72842.34952587813
hsa-mir-148a,59412.143927003584
hsa-mir-143,45111.48647713262
hsa-mir-182,44383.90706451613
hsa-mir-99b,43928.701251706094
hsa-mir-10a,31626.288076942652
hsa-let-7b,27597.493689655912
hsa-mir-375,21805.02841760932
hsa-mir-183,16888.697574508962
hsa-mir-30e,13897.18681735842
hsa-mir-200c,12297.816121605736
hsa-let-7a-3,11045.524296261648
hsa-let-7a-1,10986.49993207527
hsa-let-7a-2,10955.517637587813
hsa-mir-103a-2,10794.801065860216
hsa-mir-103a-1,10792.185331064517
hsa-mir-25,10198.526361530467
hsa-mir-30d,8748.063662752687
hsa-mir-203a,6673.987333913978
hsa-mir-93,5667.211680860215
hsa-mir-101-2,5512.486571025088
hsa-mir-101-1,5492.369413265233
hsa-mir-29a,4972.564424258065
hsa-mir-199b,4731.855989989247
hsa-mir-92a-1,4696.290440792115
hsa-mir-28,4495.922193727598
hsa-mir-92a-2,4238.730395430107
hsa-mir-126,3966.090708290322
hsa-mir-199a-2,3736.7900448494624
hsa-let-7f-2,3705.736231698925
hsa-let-7f-1,3649.3563470967742
hsa-mir-100,3639.584353577061
hsa-mir-23a,3491.375564458782
hsa-mir-142,3490.9305348279568
hsa-mir-205,2794.5617634050177
hsa-let-7c,2624.6027740107525
hsa-mir-151a,2366.6446297168454
hsa-mir-199a-1,2243.095770236559
hsa-mir-141,2096.3517915734765
hsa-mir-29c,2023.3173069892473
hsa-mir-145,1932.5276188924734
hsa-mir-181a-2,1632.0208290896055
hsa-mir-1307,1367.7319598781362
hsa-mir-191,1277.5495372473117
hsa-mir-9-3,1211.3226371827957
hsa-mir-9-1,1209.726655878136
hsa-let-7e,1208.968408702509
hsa-mir-9-2,1207.5466743082436
hsa-mir-27a,1131.4633097204303
hsa-mir-181a-1,1115.9271502114696
hsa-mir-125a,1099.1992728315413
hsa-mir-150,1032.5790765734766
hsa-mir-26a-2,973.5201451111112
hsa-mir-26a-1,970.8997945663082
hsa-mir-200a,956.1150234767025
hsa-mir-127,910.6700767491039
hsa-mir-99a,864.9643620752688
hsa-mir-23b,843.4585161648745
hsa-mir-140,829.3392036630823
hsa-mir-26b,815.5086378064516
hsa-mir-374a,782.1003919641577
hsa-mir-379,774.8270190860214
hsa-mir-532,771.5592642401434
hsa-mir-24-2,758.4253559354838
hsa-mir-146b,755.4547364157706
hsa-mir-24-1,738.8265055985662
hsa-mir-17,737.3326145985662
hsa-mir-200b,736.0541042150538
hsa-mir-210,723.2463990860215
hsa-mir-27b,675.6742979605734
hsa-let-7g,647.9766834480288
hsa-mir-30c-2,623.4310986810035
hsa-mir-30b,622.5236391146954
hsa-mir-106b,617.6783333655914
hsa-let-7d,606.2948434659497
hsa-mir-320a,602.8649545663083
hsa-mir-342,561.209131985663
hsa-let-7i,546.8216869641576
hsa-mir-30c-1,545.767264050179
hsa-mir-192,539.7462739677419
hsa-mir-155,508.31615606093186
hsa-mir-425,502.8215395197133
hsa-mir-193a,497.7951174408603
hsa-mir-196a-2,476.75329329390684
hsa-mir-125b-2,471.76442653405013
hsa-mir-378a,461.8228118172043
hsa-mir-125b-1,454.18587767025093
hsa-mir-134,445.671148172043
hsa-mir-29b-2,417.52040623655915
hsa-mir-196a-1,404.34603465949823
