miRNA,mean_expression
hsa-mir-21,239482.00661252296
hsa-mir-10b,84414.43626302293
hsa-mir-30a,73901.12258190826
hsa-mir-22,72937.3762427523
hsa-mir-148a,56501.650919738524
hsa-mir-143,46277.511423738535
hsa-mir-182,44474.213836405965
hsa-mir-99b,42891.71479118349
hsa-mir-10a,33451.199624254594
hsa-let-7b,27498.659974128434
hsa-mir-375,21171.90831584174
hsa-mir-183,17191.325338243118
hsa-mir-30e,13630.505918649083
hsa-mir-200c,12176.484327591743
hsa-let-7a-3,10998.719727029817
hsa-let-7a-1,10936.883489139907
hsa-let-7a-2,10909.135246805046
hsa-mir-103a-2,10852.286059114678
hsa-mir-103a-1,10848.65612949312
hsa-mir-25,10453.745991408257
hsa-mir-30d,8969.4078814289
hsa-mir-203a,6992.888871194954
hsa-mir-93,5689.242799855505
hsa-mir-101-2,5500.9088917293575
hsa-mir-101-1,5475.872064252294
hsa-mir-29a,4924.267856844037
hsa-mir-92a-1,4838.698357582569
hsa-mir-199b,4642.738655183486
hsa-mir-28,4476.613182708716
hsa-mir-92a-2,4371.070193495412
hsa-mir-126,3794.302498447248
hsa-mir-100,3718.1937788555047
hsa-let-7f-2,3669.2434354633033
hsa-mir-199a-2,3664.28517125
hsa-let-7f-1,3617.521431151376
hsa-mir-23a,3464.0525042844033
hsa-mir-142,3223.6274288669724
hsa-let-7c,2869.80043258945
hsa-mir-205,2853.867494816514
hsa-mir-151a,2321.277043591743
hsa-mir-199a-1,2202.0522327201834
hsa-mir-141,2004.2382322912842
hsa-mir-145,1932.0835326353213
hsa-mir-29c,1920.7797078073395
hsa-mir-181a-2,1628.072968662844
hsa-mir-1307,1359.0356770986236
hsa-mir-191,1225.9533366444953
hsa-let-7e,1190.4813564770643
hsa-mir-27a,1115.0994793394495
hsa-mir-181a-1,1108.1255885504588
hsa-mir-125a,1084.1999574518347
hsa-mir-9-3,1073.928739373853
hsa-mir-9-1,1072.2590853555046
hsa-mir-9-2,1071.304395412844
hsa-mir-150,975.5629508440368
hsa-mir-26a-2,954.8131823853212
hsa-mir-26a-1,952.4523739816514
hsa-mir-200a,952.3933466697248
hsa-mir-127,929.5025824426605
hsa-mir-99a,925.4748720114678
hsa-mir-140,823.1021016926604
hsa-mir-23b,819.6870114013763
hsa-mir-379,787.014329075688
hsa-mir-26b,779.8003167522936
hsa-mir-374a,779.6914033853212
hsa-mir-532,757.9094917201835
hsa-mir-146b,754.8653316743118
hsa-mir-24-2,748.4059838555046
hsa-mir-17,733.3486309931192
hsa-mir-200b,733.2964593188073
hsa-mir-24-1,727.9444508555046
hsa-mir-210,727.1137862522935
hsa-mir-27b,644.1156168440365
hsa-let-7g,621.3269236559634
hsa-mir-106b,613.6825372385321
hsa-mir-30c-2,612.3517208967891
hsa-mir-30b,607.8306994220184
hsa-mir-320a,589.8954499541285
hsa-let-7d,584.2710231995412
hsa-let-7i,548.9216841972477
hsa-mir-192,547.6193296055045
hsa-mir-30c-1,537.598944793578
hsa-mir-425,523.8155935366973
hsa-mir-193a,515.092837206422
hsa-mir-342,511.18675173394496
hsa-mir-155,484.64485001834856
hsa-mir-125b-2,479.9467925183486
hsa-mir-451a,465.1653384816515
hsa-mir-125b-1,459.1581869977064
hsa-mir-134,445.6778425091743
hsa-mir-196a-2,443.8279084816514
hsa-mir-378a,413.85446472477065
hsa-mir-29b-2,389.65925419954124
hsa-mir-16-2,386.6044468922019
hsa-mir-197,384.1294896513761
hsa-mir-16-1,380.7634059816514
hsa-mir-196a-1,379.12855920642204
hsa-mir-338,366.38122475
hsa-mir-186,355.17993654128435
hsa-mir-361,344.4638630917431
hsa-mir-29b-1,330.8357088165137
hsa-mir-196b,325.803775353211
hsa-mir-455,304.1051651100917
hsa-mir-20a,278.0614587889909
hsa-mir-625,273.8780388577982
hsa-mir-542,268.31129555045874
hsa-mir-500a,264.8090176238532
hsa-mir-15b,260.3118525573395
hsa-mir-152,256.1143568555046
hsa-mir-148b,223.95222953440367
hsa-mir-181b-1,216.66357473853213
hsa-mir-423,193.83665585779818
hsa-mir-181b-2,193.48034685779817
hsa-mir-149,191.86321036697245
hsa-mir-582,171.75620500917432
hsa-mir-146a,167.93524459862385
hsa-mir-424,161.28504571100916
hsa-mir-15a,159.77314345871562
hsa-mir-34a,154.91316454816513
hsa-mir-223,146.18777389220182
hsa-mir-708,143.11171430733944
hsa-mir-193b,139.76310325229358
hsa-mir-629,135.2377898853211
hsa-mir-221,132.49878351376148
hsa-mir-429,128.3752204288991
hsa-mir-92b,124.43038040137614
hsa-mir-335,124.09255544954128
hsa-mir-365a,120.52161246559633
hsa-mir-365b,120.11600737155963
hsa-mir-486-1,113.54654365137615
hsa-mir-486-2,112.6407434908257
hsa-mir-574,111.34079127981651
hsa-mir-144,111.27597745642203
hsa-mir-1269a,111.16769435779815
hsa-mir-181c,107.87823270412845
hsa-mir-194-2,102.97214057568806
hsa-mir-3607,95.43126964908257
hsa-mir-484,93.41081815825687
hsa-mir-194-1,91.91975973394496
hsa-mir-132,86.97759767431192
hsa-mir-130a,85.6833124678899
hsa-mir-19b-1,83.71147869036697
hsa-mir-128-1,81.43874978899082
hsa-mir-19b-2,75.86671477293578
hsa-mir-139,74.91767297477065
hsa-mir-589,74.05465616055046
hsa-mir-203b,73.49471437155964
hsa-mir-452,70.97037723623853
hsa-mir-206,70.69275893348625
hsa-mir-98,67.96646930963301
hsa-mir-184,67.79172828440367
hsa-mir-3065,65.27397215366972
hsa-mir-185,65.124282853211
hsa-mir-107,64.3616882270642
hsa-mir-374b,63.63014790366972
hsa-mir-153-2,61.593859795871566
