miRNA,importance
hsa-mir-509-2,0.022727273
hsa-mir-4689,0.015151516
hsa-mir-449c,0.015151516
hsa-mir-1294,0.015151516
hsa-mir-6756,0.007575758
hsa-mir-4756,0.007575758
hsa-mir-7843,0.007575758
hsa-mir-1912,0.0
hsa-mir-8085,0.0
hsa-mir-596,0.0
hsa-mir-208a,0.0
hsa-mir-5195,0.0
hsa-mir-3675,0.0
hsa-mir-4644,0.0
hsa-mir-378b,0.0
hsa-mir-3159,0.0
hsa-mir-4460,0.0
hsa-mir-3184,0.0
hsa-mir-2467,0.0
hsa-mir-1257,0.0
hsa-mir-888,0.0
hsa-mir-635,0.0
hsa-mir-891b,0.0
hsa-mir-892c,0.0
hsa-mir-5196,0.0
hsa-mir-7853,0.0
hsa-mir-4803,0.0
hsa-mir-6760,0.0
hsa-mir-3689a,0.0
hsa-mir-4530,0.0
hsa-mir-8059,0.0
hsa-mir-586,0.0
hsa-mir-4450,0.0
hsa-mir-892b,0.0
hsa-mir-548ax,0.0
hsa-mir-3142,0.0
hsa-mir-208b,0.0
hsa-mir-4650-1,0.0
hsa-mir-5692c-1,0.0
hsa-mir-3923,0.0
hsa-mir-623,0.0
hsa-mir-5192,0.0
hsa-mir-6770-1,0.0
hsa-mir-4776-1,0.0
hsa-mir-4695,0.0
hsa-mir-4310,0.0
hsa-mir-513b,0.0
hsa-mir-617,0.0
hsa-mir-941-1,0.0
hsa-mir-3685,0.0
hsa-mir-6869,0.0
hsa-mir-610,0.0
hsa-mir-4419b,0.0
hsa-mir-3186,0.0
hsa-mir-3916,0.0
hsa-mir-3661,0.0
hsa-mir-4656,0.0
hsa-mir-4528,0.0
hsa-mir-513a-2,0.0
hsa-mir-3180-4,0.0
hsa-mir-4520-1,0.0
hsa-mir-6881,0.0
hsa-mir-7157,0.0
hsa-mir-7847,0.0
hsa-mir-3921,0.0
hsa-mir-548ar,0.0
hsa-mir-490,0.0
hsa-mir-378g,0.0
hsa-mir-5693,0.0
hsa-mir-4770,0.0
hsa-mir-3915,0.0
hsa-mir-5100,0.0
hsa-mir-3197,0.0
hsa-mir-5583-1,0.0
hsa-mir-936,0.0
hsa-mir-3168,0.0
hsa-mir-4439,0.0
hsa-mir-3171,0.0
hsa-mir-1199,0.0
hsa-mir-4468,0.0
hsa-mir-626,0.0
hsa-mir-4436a,0.0
hsa-mir-1206,0.0
hsa-mir-3180-5,0.0
hsa-mir-548a-1,0.0
hsa-mir-451b,0.0
hsa-mir-1233-2,0.0
hsa-mir-3689e,0.0
hsa-mir-4432,0.0
hsa-mir-4650-2,0.0
hsa-mir-5197,0.0
hsa-mir-548ap,0.0
hsa-mir-548an,0.0
hsa-mir-3141,0.0
hsa-mir-4314,0.0
hsa-mir-595,0.0
hsa-mir-548h-1,0.0
hsa-mir-607,0.0
hsa-mir-6504,0.0
hsa-mir-1-1,0.0
hsa-mir-3116-1,0.0
hsa-mir-509-3,0.0
hsa-mir-1265,0.0
hsa-mir-6778,0.0
hsa-mir-4659a,0.0
hsa-mir-761,0.0
hsa-mir-4692,0.0
hsa-mir-2117,0.0
hsa-mir-5691,0.0
hsa-mir-4780,0.0
hsa-mir-1203,0.0
hsa-mir-8075,0.0
hsa-mir-1184-1,0.0
hsa-mir-6863,0.0
hsa-mir-4732,0.0
hsa-mir-3960,0.0
hsa-mir-554,0.0
hsa-mir-548am,0.0
hsa-mir-645,0.0
hsa-mir-3591,0.0
hsa-mir-640,0.0
hsa-mir-4681,0.0
hsa-mir-6129,0.0
hsa-mir-762,0.0
hsa-mir-510,0.0
hsa-mir-6077,0.0
hsa-mir-3122,0.0
hsa-mir-1204,0.0
hsa-mir-4518,0.0
hsa-mir-378e,0.0
hsa-mir-4315-2,0.0
hsa-mir-6770-3,0.0
hsa-mir-1272,0.0
hsa-mir-4436b-1,0.0
hsa-mir-6130,0.0
hsa-mir-1972-1,0.0
hsa-mir-4259,0.0
hsa-mir-921,0.0
hsa-mir-1972-2,0.0
hsa-mir-3689f,0.0
hsa-mir-1825,0.0
hsa-mir-325,0.0
hsa-mir-4428,0.0
hsa-mir-4527,0.0
hsa-mir-6081,0.0
hsa-mir-553,0.0
hsa-mir-2909,0.0
hsa-mir-8079,0.0
hsa-mir-3672,0.0
hsa-mir-4465,0.0
hsa-mir-147a,0.0
hsa-mir-2861,0.0
hsa-mir-6883,0.0
hsa-mir-3182,0.0
hsa-mir-4679-2,0.0
hsa-mir-4457,0.0
hsa-mir-4672,0.0
hsa-mir-6800,0.0
hsa-mir-3116-2,0.0
hsa-mir-5006,0.0
hsa-mir-548ah,0.0
hsa-mir-4793,0.0
hsa-mir-3145,0.0
hsa-mir-6813,0.0
hsa-mir-555,0.0
hsa-mir-1-2,0.0
hsa-mir-5188,0.0
hsa-mir-216b,0.0
hsa-mir-3183,0.0
hsa-mir-4420,0.0
hsa-mir-526a-1,0.0
hsa-mir-1909,0.0
hsa-mir-448,0.0
hsa-mir-7161,0.0
hsa-mir-4730,0.0
hsa-mir-1227,0.0
hsa-mir-466,0.0
hsa-mir-922,0.0
hsa-mir-4712,0.0
hsa-mir-3937,0.0
hsa-mir-5572,0.0
hsa-mir-137,0.0
hsa-mir-133a-1,0.0
