Stage,Family,k,Consensus,Classifier,n_feats,missing,Accuracy,Sensitivity,Specificity,AUC,SourceFile,Status
Stage I,Clustering,,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_Clustering_Stage_I_intersection.csv,empty_list
Stage I,Clustering,,majority,KNN,594,0.0,0.47,0.615,0.375,0.495,stagewise_consensus\Consensus_Clustering_Stage_I_majority.csv,ok
Stage I,DeepLearning,top10,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_I_intersection.csv,empty_list
Stage I,DeepLearning,top10,majority,KNN,1,0.0,0.583,0.038,0.938,0.475,stagewise_consensus\Consensus_DeepLearning_top10_Stage_I_majority.csv,ok
Stage I,DeepLearning,top15,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_I_intersection.csv,empty_list
Stage I,DeepLearning,top15,majority,KNN,2,0.0,0.523,0.154,0.762,0.449,stagewise_consensus\Consensus_DeepLearning_top15_Stage_I_majority.csv,ok
Stage I,DeepLearning,top5,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_I_intersection.csv,empty_list
Stage I,DeepLearning,top5,majority,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_I_majority.csv,empty_list
Stage I,Traditional,top10,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_Traditional_top10_Stage_I_intersection.csv,empty_list
Stage I,Traditional,top10,majority,KNN,6,0.0,0.53,0.327,0.662,0.465,stagewise_consensus\Consensus_Traditional_top10_Stage_I_majority.csv,ok
Stage I,Traditional,top15,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_Traditional_top15_Stage_I_intersection.csv,empty_list
Stage I,Traditional,top15,majority,KNN,8,0.0,0.523,0.288,0.675,0.481,stagewise_consensus\Consensus_Traditional_top15_Stage_I_majority.csv,ok
Stage I,Traditional,top5,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_Traditional_top5_Stage_I_intersection.csv,empty_list
Stage I,Traditional,top5,majority,KNN,4,0.0,0.523,0.346,0.638,0.518,stagewise_consensus\Consensus_Traditional_top5_Stage_I_majority.csv,ok
