miRNA,freq,picked_by
hsa-mir-503,3,"GMM,KM,SC"
hsa-let-7d,2,"GMM,KM"
hsa-let-7g,2,"GMM,KM"
hsa-let-7i,2,"GMM,KM"
hsa-mir-106a,2,"GMM,KM"
hsa-mir-106b,2,"GMM,KM"
hsa-mir-107,2,"GMM,KM"
hsa-mir-1180,2,"GMM,KM"
hsa-mir-1185-1,2,"HC,SC"
hsa-mir-1185-2,2,"HC,SC"
hsa-mir-1193,2,"HC,SC"
hsa-mir-1197,2,"HC,SC"
hsa-mir-1225,2,"GMM,KM"
hsa-mir-1226,2,"GMM,KM"
hsa-mir-1229,2,"GMM,KM"
hsa-mir-1231,2,"GMM,KM"
hsa-mir-1234,2,"GMM,KM"
hsa-mir-1236,2,"GMM,KM"
hsa-mir-1237,2,"GMM,KM"
hsa-mir-1246,2,"GMM,KM"
hsa-mir-1248,2,"GMM,KM"
hsa-mir-1249,2,"GMM,KM"
hsa-mir-1254-1,2,"GMM,KM"
hsa-mir-1254-2,2,"GMM,KM"
hsa-mir-1255a,2,"GMM,KM"
hsa-mir-1256,2,"GMM,KM"
hsa-mir-1260b,2,"GMM,KM"
hsa-mir-1266,2,"GMM,KM"
hsa-mir-127,2,"HC,SC"
hsa-mir-1270,2,"GMM,KM"
hsa-mir-1271,2,"GMM,KM"
hsa-mir-1276,2,"GMM,KM"
hsa-mir-1277,2,"GMM,KM"
hsa-mir-128-1,2,"GMM,KM"
hsa-mir-128-2,2,"GMM,KM"
hsa-mir-1284,2,"GMM,KM"
hsa-mir-1287,2,"GMM,KM"
hsa-mir-1288,2,"GMM,KM"
hsa-mir-129-1,2,"GMM,KM"
hsa-mir-129-2,2,"GMM,KM"
hsa-mir-1291,2,"GMM,KM"
hsa-mir-1292,2,"GMM,KM"
hsa-mir-1296,2,"GMM,KM"
hsa-mir-1301,2,"GMM,KM"
hsa-mir-1304,2,"GMM,KM"
hsa-mir-1306,2,"GMM,KM"
hsa-mir-1307,2,"GMM,KM"
hsa-mir-130b,2,"GMM,KM"
hsa-mir-132,2,"HC,SC"
hsa-mir-134,2,"HC,SC"
hsa-mir-1343,2,"GMM,KM"
hsa-mir-135b,2,"GMM,KM"
hsa-mir-136,2,"HC,SC"
hsa-mir-137,2,"HC,SC"
hsa-mir-138-1,2,"GMM,KM"
hsa-mir-138-2,2,"GMM,KM"
hsa-mir-141,2,"GMM,KM"
hsa-mir-142,2,"GMM,KM"
hsa-mir-1468,2,"GMM,KM"
hsa-mir-146a,2,"GMM,KM"
hsa-mir-146b,2,"GMM,KM"
hsa-mir-147b,2,"GMM,KM"
hsa-mir-148a,2,"GMM,KM"
hsa-mir-148b,2,"GMM,KM"
hsa-mir-150,2,"GMM,KM"
hsa-mir-151a,2,"GMM,KM"
hsa-mir-151b,2,"GMM,KM"
hsa-mir-1537,2,"GMM,KM"
hsa-mir-1538,2,"GMM,KM"
hsa-mir-154,2,"HC,SC"
hsa-mir-155,2,"GMM,KM"
hsa-mir-15a,2,"GMM,KM"
hsa-mir-15b,2,"GMM,KM"
hsa-mir-16-1,2,"GMM,KM"
hsa-mir-16-2,2,"GMM,KM"
hsa-mir-17,2,"GMM,KM"
hsa-mir-181a-2,2,"GMM,KM"
hsa-mir-181b-1,2,"GMM,KM"
hsa-mir-183,2,"GMM,KM"
hsa-mir-185,2,"GMM,KM"
hsa-mir-186,2,"GMM,KM"
hsa-mir-188,2,"GMM,KM"
hsa-mir-18a,2,"GMM,KM"
hsa-mir-18b,2,"GMM,KM"
hsa-mir-1908,2,"GMM,KM"
hsa-mir-191,2,"GMM,KM"
hsa-mir-1910,2,"GMM,KM"
hsa-mir-1914,2,"GMM,KM"
hsa-mir-1915,2,"GMM,KM"
hsa-mir-192,2,"GMM,KM"
hsa-mir-193b,2,"GMM,KM"
hsa-mir-194-1,2,"GMM,KM"
hsa-mir-194-2,2,"GMM,KM"
hsa-mir-197,2,"GMM,KM"
hsa-mir-1976,2,"GMM,KM"
hsa-mir-19a,2,"GMM,KM"
hsa-mir-19b-1,2,"GMM,KM"
hsa-mir-19b-2,2,"GMM,KM"
hsa-mir-200a,2,"GMM,KM"
hsa-mir-200b,2,"GMM,KM"
hsa-mir-200c,2,"GMM,KM"
hsa-mir-202,2,"HC,SC"
hsa-mir-203a,2,"GMM,KM"
hsa-mir-203b,2,"GMM,KM"
hsa-mir-20a,2,"GMM,KM"
hsa-mir-20b,2,"GMM,KM"
hsa-mir-210,2,"GMM,KM"
hsa-mir-2110,2,"GMM,KM"
hsa-mir-2116,2,"GMM,KM"
hsa-mir-212,2,"HC,SC"
hsa-mir-219a-1,2,"GMM,KM"
hsa-mir-219b,2,"GMM,KM"
hsa-mir-222,2,"GMM,KM"
hsa-mir-223,2,"GMM,KM"
hsa-mir-224,2,"GMM,KM"
hsa-mir-2276,2,"GMM,KM"
hsa-mir-2277,2,"GMM,KM"
hsa-mir-2355,2,"GMM,KM"
hsa-mir-23a,2,"GMM,KM"
hsa-mir-24-1,2,"GMM,KM"
hsa-mir-24-2,2,"GMM,KM"
hsa-mir-25,2,"GMM,KM"
hsa-mir-2682,2,"HC,SC"
hsa-mir-27a,2,"GMM,KM"
hsa-mir-296,2,"GMM,KM"
hsa-mir-299,2,"HC,SC"
hsa-mir-29b-1,2,"GMM,KM"
hsa-mir-29b-2,2,"GMM,KM"
hsa-mir-301a,2,"GMM,KM"
hsa-mir-301b,2,"GMM,KM"
hsa-mir-302a,2,"GMM,KM"
hsa-mir-302b,2,"GMM,KM"
hsa-mir-302c,2,"GMM,KM"
hsa-mir-302d,2,"GMM,KM"
hsa-mir-3064,2,"GMM,KM"
hsa-mir-3074,2,"GMM,KM"
hsa-mir-30b,2,"GMM,KM"
hsa-mir-30d,2,"GMM,KM"
hsa-mir-30e,2,"GMM,KM"
hsa-mir-3115,2,"GMM,KM"
hsa-mir-3116-1,2,"GMM,KM"
