miRNA,freq,picked_by
hsa-mir-1323,3,"GMM,KM,SC"
hsa-mir-512-1,3,"GMM,KM,SC"
hsa-mir-512-2,3,"GMM,KM,SC"
hsa-mir-515-1,3,"GMM,KM,SC"
hsa-mir-515-2,3,"GMM,KM,SC"
hsa-mir-516b-1,3,"GMM,KM,SC"
hsa-mir-516b-2,3,"GMM,KM,SC"
hsa-mir-517a,3,"GMM,KM,SC"
hsa-mir-517b,3,"GMM,KM,SC"
hsa-mir-517c,3,"GMM,KM,SC"
hsa-mir-518a-1,3,"GMM,KM,SC"
hsa-mir-518a-2,3,"GMM,KM,SC"
hsa-mir-518b,3,"GMM,KM,SC"
hsa-mir-518c,3,"GMM,KM,SC"
hsa-mir-518f,3,"GMM,KM,SC"
hsa-mir-519a-2,3,"GMM,KM,SC"
hsa-mir-519b,3,"GMM,KM,SC"
hsa-mir-519c,3,"GMM,KM,SC"
hsa-mir-519d,3,"GMM,KM,SC"
hsa-mir-520a,3,"GMM,KM,SC"
hsa-mir-520b,3,"GMM,KM,SC"
hsa-mir-520c,3,"GMM,KM,SC"
hsa-mir-520d,3,"GMM,KM,SC"
hsa-mir-520e,3,"GMM,KM,SC"
hsa-mir-520f,3,"GMM,KM,SC"
hsa-mir-520g,3,"GMM,KM,SC"
hsa-mir-520h,3,"GMM,KM,SC"
hsa-mir-523,3,"GMM,KM,SC"
hsa-mir-524,3,"GMM,KM,SC"
hsa-mir-525,3,"GMM,KM,SC"
hsa-mir-526b,3,"GMM,KM,SC"
hsa-mir-1185-1,2,"HC,KM"
hsa-mir-1185-2,2,"HC,KM"
hsa-mir-1197,2,"HC,KM"
hsa-mir-127,2,"HC,KM"
hsa-mir-134,2,"HC,KM"
hsa-mir-136,2,"HC,KM"
hsa-mir-137,2,"HC,KM"
hsa-mir-154,2,"HC,KM"
hsa-mir-2682,2,"HC,KM"
hsa-mir-299,2,"HC,KM"
hsa-mir-3147,2,"KM,SC"
hsa-mir-323a,2,"HC,KM"
hsa-mir-329-1,2,"HC,KM"
hsa-mir-329-2,2,"HC,KM"
hsa-mir-337,2,"HC,KM"
hsa-mir-3663,2,"HC,KM"
hsa-mir-3681,2,"HC,KM"
hsa-mir-369,2,"HC,KM"
hsa-mir-370,2,"HC,KM"
hsa-mir-376a-1,2,"HC,KM"
hsa-mir-376a-2,2,"HC,KM"
hsa-mir-376b,2,"HC,KM"
hsa-mir-376c,2,"HC,KM"
hsa-mir-377,2,"HC,KM"
hsa-mir-379,2,"HC,KM"
hsa-mir-380,2,"HC,KM"
hsa-mir-381,2,"HC,KM"
hsa-mir-382,2,"HC,KM"
hsa-mir-409,2,"HC,KM"
hsa-mir-410,2,"HC,KM"
hsa-mir-411,2,"HC,KM"
hsa-mir-412,2,"HC,KM"
hsa-mir-431,2,"HC,KM"
hsa-mir-432,2,"HC,KM"
hsa-mir-433,2,"HC,KM"
hsa-mir-4438,2,"HC,KM"
hsa-mir-4735,2,"GMM,KM"
hsa-mir-485,2,"HC,KM"
hsa-mir-487a,2,"HC,KM"
hsa-mir-487b,2,"HC,KM"
hsa-mir-488,2,"HC,KM"
hsa-mir-493,2,"HC,KM"
hsa-mir-494,2,"HC,KM"
hsa-mir-495,2,"HC,KM"
hsa-mir-496,2,"HC,KM"
hsa-mir-518e,2,"GMM,SC"
hsa-mir-519a-1,2,"GMM,SC"
hsa-mir-519e,2,"KM,SC"
hsa-mir-521-1,2,"GMM,SC"
hsa-mir-521-2,2,"GMM,SC"
hsa-mir-522,2,"GMM,SC"
hsa-mir-526a-1,2,"KM,SC"
hsa-mir-527,2,"GMM,SC"
hsa-mir-541,2,"HC,KM"
hsa-mir-543,2,"HC,KM"
hsa-mir-6132,2,"HC,KM"
hsa-mir-617,2,"HC,KM"
hsa-mir-654,2,"HC,KM"
hsa-mir-655,2,"HC,KM"
hsa-mir-656,2,"HC,KM"
hsa-mir-663a,2,"HC,KM"
hsa-mir-665,2,"HC,KM"
hsa-mir-668,2,"HC,KM"
hsa-mir-758,2,"HC,KM"
hsa-mir-766,2,"GMM,KM"
hsa-mir-770,2,"HC,KM"
hsa-mir-889,2,"HC,KM"
hsa-let-7c,1,KM
hsa-let-7d,1,GMM
hsa-let-7g,1,GMM
hsa-let-7i,1,GMM
hsa-mir-105-1,1,GMM
hsa-mir-105-2,1,GMM
hsa-mir-106a,1,GMM
hsa-mir-106b,1,GMM
hsa-mir-107,1,GMM
hsa-mir-10b,1,KM
hsa-mir-1180,1,GMM
hsa-mir-1226,1,GMM
hsa-mir-1227,1,GMM
hsa-mir-1229,1,GMM
hsa-mir-1231,1,GMM
hsa-mir-1234,1,GMM
hsa-mir-1237,1,GMM
hsa-mir-1245a,1,KM
hsa-mir-1249,1,GMM
hsa-mir-1254-1,1,GMM
hsa-mir-1254-2,1,GMM
hsa-mir-1255a,1,GMM
hsa-mir-1256,1,GMM
hsa-mir-1257,1,GMM
hsa-mir-125b-1,1,KM
hsa-mir-125b-2,1,KM
hsa-mir-1260b,1,GMM
hsa-mir-1262,1,KM
hsa-mir-1266,1,GMM
hsa-mir-1269b,1,GMM
hsa-mir-1270,1,GMM
hsa-mir-1271,1,GMM
hsa-mir-1276,1,GMM
hsa-mir-1277,1,GMM
hsa-mir-1278,1,GMM
hsa-mir-128-1,1,GMM
hsa-mir-128-2,1,GMM
hsa-mir-1283-1,1,GMM
hsa-mir-1283-2,1,GMM
hsa-mir-1284,1,GMM
hsa-mir-1286,1,GMM
hsa-mir-1287,1,GMM
hsa-mir-1288,1,GMM
hsa-mir-1292,1,GMM
hsa-mir-1295b,1,GMM
hsa-mir-1296,1,GMM
hsa-mir-1301,1,GMM
hsa-mir-1304,1,GMM
hsa-mir-1306,1,GMM
hsa-mir-1307,1,GMM
hsa-mir-130a,1,GMM
hsa-mir-130b,1,GMM
hsa-mir-1343,1,GMM
hsa-mir-135b,1,GMM
hsa-mir-138-1,1,GMM
hsa-mir-138-2,1,GMM
hsa-mir-141,1,GMM
hsa-mir-142,1,GMM
hsa-mir-1468,1,GMM
hsa-mir-146a,1,GMM
hsa-mir-146b,1,GMM
hsa-mir-147b,1,GMM
hsa-mir-148a,1,GMM
hsa-mir-148b,1,GMM
hsa-mir-150,1,GMM
hsa-mir-151a,1,GMM
hsa-mir-151b,1,GMM
hsa-mir-1537,1,GMM
hsa-mir-1538,1,GMM
hsa-mir-1539,1,GMM
hsa-mir-155,1,GMM
hsa-mir-15a,1,GMM
hsa-mir-15b,1,GMM
hsa-mir-16-1,1,GMM
hsa-mir-16-2,1,GMM
hsa-mir-17,1,GMM
hsa-mir-181a-2,1,GMM
hsa-mir-181b-1,1,GMM
hsa-mir-181b-2,1,GMM
hsa-mir-181c,1,GMM
hsa-mir-181d,1,GMM
hsa-mir-183,1,GMM
hsa-mir-185,1,GMM
hsa-mir-186,1,GMM
hsa-mir-188,1,GMM
hsa-mir-18a,1,GMM
hsa-mir-18b,1,GMM
hsa-mir-1908,1,GMM
hsa-mir-191,1,GMM
hsa-mir-1910,1,GMM
hsa-mir-1913,1,GMM
hsa-mir-1914,1,GMM
hsa-mir-1915,1,GMM
hsa-mir-192,1,GMM
hsa-mir-193b,1,GMM
hsa-mir-197,1,GMM
hsa-mir-1976,1,GMM
hsa-mir-199a-1,1,KM
hsa-mir-199a-2,1,KM
hsa-mir-199b,1,KM
hsa-mir-19a,1,GMM
hsa-mir-19b-1,1,GMM
hsa-mir-19b-2,1,GMM
hsa-mir-200a,1,GMM
hsa-mir-200b,1,GMM
hsa-mir-200c,1,GMM
hsa-mir-202,1,HC
hsa-mir-203a,1,GMM
hsa-mir-203b,1,GMM
hsa-mir-20a,1,GMM
hsa-mir-20b,1,GMM
hsa-mir-210,1,GMM
hsa-mir-2110,1,GMM
hsa-mir-2116,1,GMM
hsa-mir-214,1,KM
hsa-mir-218-1,1,KM
hsa-mir-218-2,1,KM
hsa-mir-219a-1,1,GMM
hsa-mir-219b,1,GMM
hsa-mir-222,1,GMM
hsa-mir-223,1,GMM
hsa-mir-224,1,GMM
hsa-mir-2276,1,GMM
hsa-mir-2277,1,GMM
hsa-mir-2278,1,GMM
hsa-mir-2355,1,GMM
hsa-mir-23a,1,GMM
hsa-mir-23b,1,GMM
hsa-mir-24-1,1,GMM
hsa-mir-24-2,1,GMM
hsa-mir-25,1,GMM
hsa-mir-27a,1,GMM
hsa-mir-28,1,GMM
hsa-mir-29b-1,1,GMM
hsa-mir-29b-2,1,GMM
hsa-mir-301a,1,GMM
hsa-mir-301b,1,GMM
hsa-mir-3064,1,GMM
hsa-mir-3074,1,GMM
hsa-mir-30b,1,GMM
hsa-mir-30c-1,1,GMM
hsa-mir-30d,1,GMM
hsa-mir-30e,1,GMM
hsa-mir-31,1,GMM
hsa-mir-3115,1,GMM
hsa-mir-3116-1,1,GMM
hsa-mir-3116-2,1,GMM
hsa-mir-3117,1,GMM
hsa-mir-3126,1,GMM
hsa-mir-3127,1,GMM
