miRNA,freq,picked_by
hsa-mir-1185-1,3,"HC,KM,SC"
hsa-mir-1197,3,"HC,KM,SC"
hsa-mir-127,3,"HC,KM,SC"
hsa-mir-134,3,"HC,KM,SC"
hsa-mir-136,3,"HC,KM,SC"
hsa-mir-154,3,"HC,KM,SC"
hsa-mir-202,3,"HC,KM,SC"
hsa-mir-299,3,"HC,KM,SC"
hsa-mir-323a,3,"HC,KM,SC"
hsa-mir-323b,3,"HC,KM,SC"
hsa-mir-329-1,3,"HC,KM,SC"
hsa-mir-329-2,3,"HC,KM,SC"
hsa-mir-337,3,"HC,KM,SC"
hsa-mir-369,3,"HC,KM,SC"
hsa-mir-370,3,"HC,KM,SC"
hsa-mir-376a-1,3,"HC,KM,SC"
hsa-mir-376a-2,3,"HC,KM,SC"
hsa-mir-376b,3,"HC,KM,SC"
hsa-mir-376c,3,"HC,KM,SC"
hsa-mir-377,3,"HC,KM,SC"
hsa-mir-379,3,"HC,KM,SC"
hsa-mir-380,3,"HC,KM,SC"
hsa-mir-381,3,"HC,KM,SC"
hsa-mir-382,3,"HC,KM,SC"
hsa-mir-409,3,"HC,KM,SC"
hsa-mir-410,3,"HC,KM,SC"
hsa-mir-411,3,"HC,KM,SC"
hsa-mir-412,3,"HC,KM,SC"
hsa-mir-424,3,"HC,KM,SC"
hsa-mir-431,3,"HC,KM,SC"
hsa-mir-432,3,"HC,KM,SC"
hsa-mir-433,3,"HC,KM,SC"
hsa-mir-450a-1,3,"HC,KM,SC"
hsa-mir-450a-2,3,"HC,KM,SC"
hsa-mir-450b,3,"HC,KM,SC"
hsa-mir-485,3,"HC,KM,SC"
hsa-mir-487a,3,"HC,KM,SC"
hsa-mir-487b,3,"HC,KM,SC"
hsa-mir-493,3,"HC,KM,SC"
hsa-mir-494,3,"HC,KM,SC"
hsa-mir-495,3,"HC,KM,SC"
hsa-mir-496,3,"HC,KM,SC"
hsa-mir-503,3,"HC,KM,SC"
hsa-mir-506,3,"HC,KM,SC"
hsa-mir-507,3,"HC,KM,SC"
hsa-mir-508,3,"HC,KM,SC"
hsa-mir-509-1,3,"HC,KM,SC"
hsa-mir-509-2,3,"HC,KM,SC"
hsa-mir-509-3,3,"HC,KM,SC"
hsa-mir-510,3,"HC,KM,SC"
hsa-mir-513a-1,3,"HC,KM,SC"
hsa-mir-513a-2,3,"HC,KM,SC"
hsa-mir-513b,3,"HC,KM,SC"
hsa-mir-513c,3,"HC,KM,SC"
hsa-mir-514a-1,3,"HC,KM,SC"
hsa-mir-514a-2,3,"HC,KM,SC"
hsa-mir-514a-3,3,"HC,KM,SC"
hsa-mir-514b,3,"HC,KM,SC"
hsa-mir-539,3,"HC,KM,SC"
hsa-mir-541,3,"HC,KM,SC"
hsa-mir-542,3,"HC,KM,SC"
hsa-mir-543,3,"HC,KM,SC"
hsa-mir-544a,3,"HC,KM,SC"
hsa-mir-654,3,"HC,KM,SC"
hsa-mir-655,3,"HC,KM,SC"
hsa-mir-656,3,"HC,KM,SC"
hsa-mir-668,3,"HC,KM,SC"
hsa-mir-758,3,"HC,KM,SC"
hsa-mir-7978,3,"HC,KM,SC"
hsa-mir-889,3,"HC,KM,SC"
hsa-let-7c,2,"KM,SC"
hsa-let-7i,2,"GMM,KM"
hsa-mir-1193,2,"KM,SC"
hsa-mir-1245a,2,"KM,SC"
hsa-mir-1282,2,"KM,SC"
hsa-mir-132,2,"KM,SC"
hsa-mir-195,2,"KM,SC"
hsa-mir-199a-1,2,"KM,SC"
hsa-mir-199a-2,2,"KM,SC"
hsa-mir-204,2,"KM,SC"
hsa-mir-212,2,"KM,SC"
hsa-mir-218-1,2,"KM,SC"
hsa-mir-218-2,2,"KM,SC"
hsa-mir-4421,2,"KM,SC"
hsa-mir-4636,2,"KM,SC"
hsa-mir-6507,2,"KM,SC"
hsa-mir-660,2,"GMM,KM"
hsa-mir-665,2,"KM,SC"
hsa-mir-770,2,"KM,SC"
hsa-let-7d,1,GMM
hsa-let-7g,1,GMM
hsa-mir-100,1,KM
hsa-mir-105-1,1,GMM
hsa-mir-105-2,1,GMM
hsa-mir-106a,1,GMM
hsa-mir-106b,1,GMM
hsa-mir-107,1,GMM
hsa-mir-10b,1,KM
hsa-mir-1180,1,GMM
hsa-mir-1181,1,GMM
hsa-mir-1184-1,1,GMM
hsa-mir-1185-2,1,SC
hsa-mir-1226,1,GMM
hsa-mir-1227,1,GMM
hsa-mir-1229,1,GMM
hsa-mir-1231,1,GMM
hsa-mir-1234,1,GMM
hsa-mir-1236,1,GMM
hsa-mir-1237,1,GMM
hsa-mir-1243,1,GMM
hsa-mir-1246,1,GMM
hsa-mir-1248,1,GMM
hsa-mir-1249,1,GMM
hsa-mir-1252,1,GMM
hsa-mir-1253,1,GMM
hsa-mir-1254-1,1,GMM
hsa-mir-1254-2,1,GMM
hsa-mir-1255a,1,GMM
hsa-mir-1256,1,GMM
hsa-mir-1257,1,GMM
hsa-mir-125b-1,1,KM
hsa-mir-125b-2,1,KM
hsa-mir-1260b,1,GMM
hsa-mir-1262,1,SC
hsa-mir-1266,1,GMM
hsa-mir-1269a,1,GMM
hsa-mir-1269b,1,GMM
hsa-mir-1270,1,GMM
hsa-mir-1271,1,GMM
hsa-mir-1276,1,GMM
hsa-mir-1277,1,GMM
hsa-mir-128-1,1,GMM
hsa-mir-128-2,1,GMM
hsa-mir-1283-1,1,GMM
hsa-mir-1283-2,1,GMM
hsa-mir-1284,1,GMM
hsa-mir-1286,1,GMM
hsa-mir-1287,1,GMM
hsa-mir-1288,1,GMM
hsa-mir-129-1,1,GMM
hsa-mir-129-2,1,GMM
hsa-mir-1291,1,GMM
hsa-mir-1292,1,GMM
hsa-mir-1295b,1,GMM
hsa-mir-1296,1,GMM
hsa-mir-1301,1,GMM
hsa-mir-1304,1,GMM
hsa-mir-1305,1,SC
hsa-mir-1306,1,GMM
hsa-mir-1307,1,GMM
hsa-mir-130b,1,GMM
hsa-mir-1323,1,GMM
hsa-mir-1343,1,GMM
hsa-mir-135b,1,GMM
hsa-mir-137,1,SC
hsa-mir-138-1,1,GMM
hsa-mir-138-2,1,GMM
hsa-mir-139,1,KM
hsa-mir-141,1,GMM
hsa-mir-142,1,GMM
hsa-mir-143,1,KM
hsa-mir-145,1,KM
hsa-mir-1468,1,GMM
hsa-mir-146a,1,GMM
hsa-mir-146b,1,GMM
hsa-mir-147b,1,GMM
hsa-mir-148a,1,GMM
hsa-mir-148b,1,GMM
hsa-mir-150,1,GMM
hsa-mir-151a,1,GMM
hsa-mir-151b,1,GMM
hsa-mir-1537,1,GMM
hsa-mir-1538,1,GMM
hsa-mir-155,1,GMM
hsa-mir-15a,1,GMM
hsa-mir-15b,1,GMM
hsa-mir-16-1,1,GMM
hsa-mir-16-2,1,GMM
hsa-mir-17,1,GMM
hsa-mir-181a-1,1,GMM
hsa-mir-181a-2,1,GMM
hsa-mir-181b-1,1,GMM
hsa-mir-181b-2,1,GMM
hsa-mir-1825,1,GMM
hsa-mir-183,1,GMM
hsa-mir-185,1,GMM
hsa-mir-186,1,GMM
hsa-mir-188,1,GMM
hsa-mir-18a,1,GMM
hsa-mir-18b,1,GMM
hsa-mir-1908,1,GMM
hsa-mir-1909,1,GMM
hsa-mir-191,1,GMM
hsa-mir-1910,1,GMM
hsa-mir-1913,1,GMM
hsa-mir-1914,1,GMM
hsa-mir-1915,1,GMM
hsa-mir-192,1,GMM
hsa-mir-193b,1,GMM
hsa-mir-194-1,1,GMM
hsa-mir-194-2,1,GMM
hsa-mir-196a-1,1,GMM
hsa-mir-196a-2,1,GMM
hsa-mir-197,1,GMM
hsa-mir-1976,1,GMM
hsa-mir-199b,1,KM
hsa-mir-19a,1,GMM
hsa-mir-19b-1,1,GMM
hsa-mir-19b-2,1,GMM
hsa-mir-200a,1,GMM
hsa-mir-200b,1,GMM
hsa-mir-200c,1,GMM
hsa-mir-203a,1,GMM
hsa-mir-203b,1,GMM
hsa-mir-20a,1,GMM
hsa-mir-20b,1,GMM
hsa-mir-21,1,GMM
hsa-mir-210,1,GMM
hsa-mir-2110,1,GMM
hsa-mir-2113,1,GMM
hsa-mir-2116,1,GMM
hsa-mir-214,1,GMM
hsa-mir-215,1,GMM
hsa-mir-219a-1,1,GMM
hsa-mir-219b,1,GMM
hsa-mir-222,1,GMM
hsa-mir-223,1,GMM
hsa-mir-224,1,GMM
hsa-mir-2276,1,GMM
hsa-mir-2277,1,GMM
hsa-mir-2355,1,GMM
hsa-mir-23a,1,GMM
hsa-mir-23b,1,GMM
hsa-mir-24-1,1,GMM
hsa-mir-24-2,1,GMM
hsa-mir-2467,1,GMM
hsa-mir-25,1,GMM
hsa-mir-2682,1,GMM
hsa-mir-26b,1,GMM
hsa-mir-27a,1,GMM
hsa-mir-2861,1,GMM
hsa-mir-2909,1,GMM
hsa-mir-29b-1,1,GMM
hsa-mir-29b-2,1,GMM
hsa-mir-301a,1,GMM
hsa-mir-301b,1,GMM
hsa-mir-302a,1,GMM
hsa-mir-302b,1,GMM
hsa-mir-302c,1,GMM
hsa-mir-3064,1,GMM
hsa-mir-3065,1,GMM
hsa-mir-3074,1,GMM
hsa-mir-30b,1,GMM
hsa-mir-30d,1,GMM
hsa-mir-30e,1,GMM
hsa-mir-3115,1,GMM
hsa-mir-3116-2,1,GMM
hsa-mir-3117,1,GMM
hsa-mir-3126,1,GMM
hsa-mir-3127,1,GMM
hsa-mir-3128,1,GMM
hsa-mir-3130-1,1,GMM
hsa-mir-3130-2,1,GMM
hsa-mir-3132,1,SC
hsa-mir-3133,1,GMM
hsa-mir-3136,1,GMM
hsa-mir-3137,1,GMM
hsa-mir-3138,1,GMM
hsa-mir-3139,1,GMM
hsa-mir-3140,1,GMM
hsa-mir-3143,1,GMM
hsa-mir-3145,1,GMM
hsa-mir-3149,1,GMM
hsa-mir-3150a,1,GMM
hsa-mir-3150b,1,GMM
hsa-mir-3155a,1,GMM
hsa-mir-3157,1,GMM
hsa-mir-3159,1,GMM
hsa-mir-3161,1,GMM
hsa-mir-3162,1,GMM
hsa-mir-3164,1,GMM
hsa-mir-3169,1,GMM
hsa-mir-3170,1,GMM
hsa-mir-3173,1,GMM
hsa-mir-3174,1,GMM
hsa-mir-3176,1,GMM
hsa-mir-3177,1,GMM
hsa-mir-3184,1,GMM
hsa-mir-3186,1,GMM
hsa-mir-3187,1,GMM
hsa-mir-3188,1,GMM
hsa-mir-3190,1,GMM
hsa-mir-3191,1,GMM
hsa-mir-3192,1,GMM
hsa-mir-3194,1,GMM
hsa-mir-3198-1,1,GMM
hsa-mir-3198-2,1,GMM
hsa-mir-32,1,GMM
hsa-mir-3200,1,GMM
hsa-mir-3201,1,GMM
hsa-mir-3202-2,1,GMM
hsa-mir-320b-1,1,GMM
hsa-mir-320b-2,1,GMM
hsa-mir-320c-1,1,SC
hsa-mir-320d-1,1,GMM
hsa-mir-324,1,GMM
hsa-mir-328,1,GMM
hsa-mir-330,1,GMM
hsa-mir-331,1,GMM
hsa-mir-339,1,GMM
hsa-mir-33a,1,GMM
hsa-mir-33b,1,GMM
hsa-mir-340,1,GMM
hsa-mir-345,1,GMM
hsa-mir-34a,1,GMM
hsa-mir-3529,1,GMM
hsa-mir-3605,1,GMM
hsa-mir-3606,1,SC
hsa-mir-3607,1,GMM
hsa-mir-361,1,GMM
hsa-mir-3610,1,GMM
hsa-mir-3611,1,GMM
hsa-mir-3613,1,GMM
hsa-mir-3614,1,GMM
hsa-mir-3615,1,GMM
hsa-mir-3616,1,GMM
hsa-mir-3618,1,GMM
hsa-mir-3619,1,GMM
hsa-mir-362,1,GMM
hsa-mir-3620,1,GMM
hsa-mir-3621,1,GMM
hsa-mir-3622a,1,GMM
hsa-mir-3622b,1,GMM
hsa-mir-363,1,GMM
hsa-mir-3651,1,GMM
hsa-mir-3652,1,GMM
hsa-mir-3653,1,GMM
hsa-mir-3654,1,GMM
hsa-mir-3660,1,GMM
hsa-mir-3662,1,GMM
hsa-mir-3663,1,GMM
hsa-mir-3664,1,GMM
hsa-mir-3667,1,GMM
hsa-mir-3677,1,GMM
hsa-mir-3679,1,GMM
hsa-mir-3680-1,1,GMM
hsa-mir-3680-2,1,GMM
hsa-mir-3682,1,GMM
hsa-mir-3683,1,GMM
hsa-mir-3684,1,GMM
hsa-mir-3688-1,1,GMM
hsa-mir-3689a,1,GMM
hsa-mir-3689e,1,GMM
hsa-mir-3689f,1,GMM
hsa-mir-3690-1,1,GMM
hsa-mir-3691,1,GMM
hsa-mir-374a,1,GMM
hsa-mir-374b,1,GMM
hsa-mir-3907,1,GMM
hsa-mir-3909,1,GMM
hsa-mir-3911,1,GMM
hsa-mir-3915,1,GMM
hsa-mir-3917,1,GMM
hsa-mir-3920,1,GMM
hsa-mir-3922,1,GMM
hsa-mir-3923,1,GMM
hsa-mir-3926-1,1,SC
hsa-mir-3927,1,GMM
hsa-mir-3928,1,GMM
hsa-mir-3929,1,GMM
hsa-mir-3934,1,GMM
hsa-mir-3936,1,GMM
hsa-mir-3937,1,GMM
hsa-mir-3938,1,GMM
hsa-mir-3939,1,GMM
hsa-mir-3940,1,GMM
hsa-mir-3941,1,GMM
hsa-mir-3942,1,GMM
hsa-mir-3944,1,GMM
hsa-mir-421,1,GMM
hsa-mir-423,1,GMM
hsa-mir-425,1,GMM
hsa-mir-4286,1,GMM
hsa-mir-429,1,GMM
hsa-mir-4315-2,1,GMM
hsa-mir-4326,1,GMM
hsa-mir-4420,1,GMM
hsa-mir-4423,1,GMM
hsa-mir-4424,1,GMM
hsa-mir-4425,1,GMM
hsa-mir-4428,1,GMM
hsa-mir-4431,1,GMM
hsa-mir-4432,1,GMM
hsa-mir-4435-1,1,GMM
hsa-mir-4443,1,GMM
hsa-mir-4444-1,1,GMM
hsa-mir-4444-2,1,GMM
hsa-mir-4446,1,GMM
hsa-mir-4449,1,GMM
hsa-mir-4450,1,GMM
hsa-mir-4451,1,GMM
hsa-mir-4453,1,GMM
hsa-mir-4454,1,GMM
hsa-mir-4458,1,SC
