miRNA,freq,picked_by
hsa-mir-10b,1,1D-CNN
hsa-mir-1249,1,FNN
hsa-mir-134,1,FNN
hsa-mir-142,1,FNN
hsa-mir-151a,1,FNN
hsa-mir-183,1,FNN
hsa-mir-218-2,1,DAE
hsa-mir-302b,1,1D-CNN
hsa-mir-3169,1,1D-CNN
hsa-mir-338,1,FNN
hsa-mir-34c,1,1D-CNN
hsa-mir-3529,1,DAE
hsa-mir-3613,1,DAE
hsa-mir-4254,1,FNN
hsa-mir-4322,1,1D-CNN
hsa-mir-4438,1,1D-CNN
hsa-mir-449a,1,1D-CNN
hsa-mir-503,1,DAE
hsa-mir-516b-2,1,DAE
hsa-mir-548ab,1,1D-CNN
hsa-mir-548ag-2,1,FNN
hsa-mir-548ar,1,FNN
hsa-mir-548n,1,DAE
hsa-mir-5685,1,FNN
hsa-mir-5692c-1,1,1D-CNN
hsa-mir-578,1,DAE
hsa-mir-6814,1,DAE
hsa-mir-6853,1,DAE
hsa-mir-7641-1,1,1D-CNN
hsa-mir-8071-2,1,DAE
hsa-mir-941-5,1,LSTM-Seq
hsa-mir-942,1,LSTM-Seq
hsa-mir-943,1,LSTM-Seq
hsa-mir-944,1,LSTM-Seq
hsa-mir-95,1,LSTM-Seq
hsa-mir-9500,1,LSTM-Seq
hsa-mir-96,1,LSTM-Seq
hsa-mir-98,1,LSTM-Seq
hsa-mir-99a,1,LSTM-Seq
hsa-mir-99b,1,LSTM-Seq
