miRNA,freq,picked_by
hsa-mir-1260b,1,DAE
hsa-mir-136,1,DAE
hsa-mir-149,1,1D-CNN
hsa-mir-1537,1,FNN
hsa-mir-195,1,FNN
hsa-mir-3152,1,FNN
hsa-mir-3196,1,DAE
hsa-mir-3612,1,1D-CNN
hsa-mir-3690-1,1,DAE
hsa-mir-3940,1,1D-CNN
hsa-mir-3977,1,1D-CNN
hsa-mir-4453,1,DAE
hsa-mir-4505,1,DAE
hsa-mir-4636,1,DAE
hsa-mir-4699,1,FNN
hsa-mir-4804,1,FNN
hsa-mir-5008,1,1D-CNN
hsa-mir-500a,1,DAE
hsa-mir-507,1,DAE
hsa-mir-5187,1,1D-CNN
hsa-mir-5191,1,1D-CNN
hsa-mir-548n,1,FNN
hsa-mir-548t,1,1D-CNN
hsa-mir-6087,1,FNN
hsa-mir-642b,1,FNN
hsa-mir-6499,1,1D-CNN
hsa-mir-6755,1,FNN
hsa-mir-6814,1,FNN
hsa-mir-8063,1,DAE
hsa-mir-8066,1,1D-CNN
hsa-mir-941-5,1,LSTM-Seq
hsa-mir-942,1,LSTM-Seq
hsa-mir-943,1,LSTM-Seq
hsa-mir-944,1,LSTM-Seq
hsa-mir-95,1,LSTM-Seq
hsa-mir-9500,1,LSTM-Seq
hsa-mir-96,1,LSTM-Seq
hsa-mir-98,1,LSTM-Seq
hsa-mir-99a,1,LSTM-Seq
hsa-mir-99b,1,LSTM-Seq
