miRNA,freq,picked_by
hsa-mir-4639,2,"DAE,FNN"
hsa-mir-1291,1,1D-CNN
hsa-mir-1301,1,DAE
hsa-mir-1972-2,1,1D-CNN
hsa-mir-3165,1,FNN
hsa-mir-3912,1,DAE
hsa-mir-4314,1,1D-CNN
hsa-mir-4436a,1,DAE
hsa-mir-4529,1,FNN
hsa-mir-4532,1,1D-CNN
hsa-mir-4661,1,DAE
hsa-mir-4695,1,1D-CNN
hsa-mir-4775,1,1D-CNN
hsa-mir-4796,1,FNN
hsa-mir-5094,1,1D-CNN
hsa-mir-517b,1,1D-CNN
hsa-mir-548h-3,1,1D-CNN
hsa-mir-550b-2,1,DAE
hsa-mir-556,1,DAE
hsa-mir-5681a,1,FNN
hsa-mir-5687,1,FNN
hsa-mir-5694,1,FNN
hsa-mir-5697,1,FNN
hsa-mir-585,1,FNN
hsa-mir-6855,1,FNN
hsa-mir-6877,1,DAE
hsa-mir-6892,1,DAE
hsa-mir-8086,1,1D-CNN
hsa-mir-940,1,DAE
hsa-mir-941-5,1,LSTM-Seq
hsa-mir-942,1,LSTM-Seq
hsa-mir-943,1,LSTM-Seq
hsa-mir-944,1,LSTM-Seq
hsa-mir-95,1,LSTM-Seq
hsa-mir-9500,1,LSTM-Seq
hsa-mir-96,1,LSTM-Seq
hsa-mir-98,1,LSTM-Seq
hsa-mir-99a,1,LSTM-Seq
hsa-mir-99b,1,LSTM-Seq
