miRNA,freq,picked_by
hsa-mir-4773-2,2,"1D-CNN,FNN"
hsa-let-7c,1,FNN
hsa-mir-1180,1,FNN
hsa-mir-1254-2,1,1D-CNN
hsa-mir-1262,1,1D-CNN
hsa-mir-1276,1,1D-CNN
hsa-mir-1282,1,DAE
hsa-mir-185,1,FNN
hsa-mir-188,1,DAE
hsa-mir-200b,1,FNN
hsa-mir-21,1,1D-CNN
hsa-mir-3130-2,1,FNN
hsa-mir-3166,1,DAE
hsa-mir-3169,1,DAE
hsa-mir-3178,1,1D-CNN
hsa-mir-337,1,DAE
hsa-mir-3613,1,1D-CNN
hsa-mir-3677,1,FNN
hsa-mir-3922,1,1D-CNN
hsa-mir-3928,1,FNN
hsa-mir-409,1,DAE
hsa-mir-4432,1,DAE
hsa-mir-4454,1,FNN
hsa-mir-4486,1,DAE
hsa-mir-4526,1,1D-CNN
hsa-mir-4652,1,DAE
hsa-mir-4763,1,1D-CNN
hsa-mir-488,1,FNN
hsa-mir-514a-2,1,DAE
hsa-mir-527,1,DAE
hsa-mir-548ak,1,DAE
hsa-mir-548j,1,1D-CNN
hsa-mir-548o,1,FNN
hsa-mir-5586,1,FNN
hsa-mir-597,1,DAE
hsa-mir-607,1,1D-CNN
hsa-mir-6511b-2,1,1D-CNN
hsa-mir-663b,1,DAE
hsa-mir-6716,1,1D-CNN
hsa-mir-6822,1,1D-CNN
hsa-mir-6825,1,FNN
hsa-mir-6840,1,FNN
hsa-mir-7113,1,FNN
hsa-mir-8081,1,DAE
hsa-mir-940,1,LSTM-Seq
hsa-mir-941-1,1,LSTM-Seq
hsa-mir-941-2,1,LSTM-Seq
hsa-mir-941-3,1,LSTM-Seq
hsa-mir-941-4,1,LSTM-Seq
hsa-mir-941-5,1,LSTM-Seq
hsa-mir-942,1,LSTM-Seq
hsa-mir-943,1,LSTM-Seq
hsa-mir-944,1,LSTM-Seq
hsa-mir-95,1,LSTM-Seq
hsa-mir-9500,1,LSTM-Seq
hsa-mir-96,1,LSTM-Seq
hsa-mir-98,1,LSTM-Seq
hsa-mir-99a,1,LSTM-Seq
hsa-mir-99b,1,LSTM-Seq
