Approach,Stage,k,n_methods_found,n_intersection,n_majority,n_union
Traditional,Stage I,5,4,0,4,16
Traditional,Stage I,10,4,0,6,34
Traditional,Stage I,15,4,0,8,51
Traditional,Stage II,5,4,0,3,16
Traditional,Stage II,10,4,0,6,33
Traditional,Stage II,15,4,0,9,49
Traditional,Stage III,5,4,0,2,18
Traditional,Stage III,10,4,0,7,33
Traditional,Stage III,15,4,0,9,50
Traditional,Stage IV,5,4,0,3,17
Traditional,Stage IV,10,4,0,6,34
Traditional,Stage IV,15,4,0,6,53
DeepLearning,Stage I,5,4,0,0,20
DeepLearning,Stage I,10,4,0,1,39
DeepLearning,Stage I,15,4,0,2,58
DeepLearning,Stage II,5,4,0,0,20
DeepLearning,Stage II,10,4,0,0,40
DeepLearning,Stage II,15,4,0,1,59
DeepLearning,Stage III,5,4,0,0,20
DeepLearning,Stage III,10,4,0,0,40
DeepLearning,Stage III,15,4,0,0,60
DeepLearning,Stage IV,5,4,0,1,19
DeepLearning,Stage IV,10,4,0,1,39
DeepLearning,Stage IV,15,4,0,1,59
Clustering,Stage I,,4,0,594,646
Clustering,Stage II,,4,0,98,664
Clustering,Stage III,,4,0,600,691
Clustering,Stage IV,,4,0,89,800
