miRNA,freq,picked_by
hsa-mir-4488,3,"LASSO,SFS,VT"
hsa-mir-122,2,"LASSO,VT"
hsa-mir-3619,2,"LASSO,VT"
hsa-mir-3918,2,"LASSO,VT"
hsa-mir-4773-2,2,"LASSO,VT"
hsa-mir-6867,2,"LASSO,VT"
hsa-let-7b,1,Chi2
hsa-mir-1-1,1,SFS
hsa-mir-100,1,Chi2
hsa-mir-103a-1,1,Chi2
hsa-mir-103a-2,1,Chi2
hsa-mir-103b-1,1,SFS
hsa-mir-103b-2,1,SFS
hsa-mir-10b,1,Chi2
hsa-mir-1178,1,SFS
hsa-mir-1182,1,SFS
hsa-mir-1183,1,SFS
hsa-mir-1184-1,1,SFS
hsa-mir-1184-2,1,SFS
hsa-mir-1184-3,1,SFS
hsa-mir-1200,1,SFS
hsa-mir-1202,1,SFS
hsa-mir-1203,1,SFS
hsa-mir-1204,1,SFS
hsa-mir-1205,1,SFS
hsa-mir-1260a,1,LASSO
hsa-mir-143,1,Chi2
hsa-mir-182,1,Chi2
hsa-mir-183,1,Chi2
hsa-mir-203a,1,Chi2
hsa-mir-21,1,Chi2
hsa-mir-22,1,Chi2
hsa-mir-29a,1,Chi2
hsa-mir-30a,1,Chi2
hsa-mir-30d,1,Chi2
hsa-mir-320d-1,1,VT
hsa-mir-3609,1,LASSO
hsa-mir-3910-2,1,VT
hsa-mir-3921,1,LASSO
hsa-mir-3926-1,1,LASSO
hsa-mir-425,1,Chi2
hsa-mir-4315-1,1,VT
hsa-mir-4479,1,VT
hsa-mir-451b,1,LASSO
hsa-mir-4526,1,LASSO
hsa-mir-4653,1,LASSO
hsa-mir-4770,1,VT
hsa-mir-548aj-1,1,VT
hsa-mir-548ar,1,VT
hsa-mir-5682,1,VT
hsa-mir-5702,1,VT
hsa-mir-6839,1,LASSO
hsa-mir-6863,1,LASSO
