miRNA,freq,picked_by
hsa-mir-7111,3,"LASSO,SFS,VT"
hsa-mir-3917,2,"LASSO,VT"
hsa-mir-4770,2,"SFS,VT"
hsa-mir-4777,2,"LASSO,VT"
hsa-mir-598,2,"LASSO,VT"
hsa-mir-6513,2,"LASSO,VT"
hsa-mir-6837,2,"LASSO,VT"
hsa-mir-7704,2,"LASSO,VT"
hsa-let-7c,1,Chi2
hsa-mir-1-1,1,Chi2
hsa-mir-1-2,1,Chi2
hsa-mir-103b-1,1,SFS
hsa-mir-103b-2,1,SFS
hsa-mir-10a,1,Chi2
hsa-mir-1183,1,SFS
hsa-mir-1184-2,1,SFS
hsa-mir-1200,1,SFS
hsa-mir-1202,1,SFS
hsa-mir-1205,1,SFS
hsa-mir-1207,1,SFS
hsa-mir-1208,1,SFS
hsa-mir-1233-1,1,SFS
hsa-mir-126,1,Chi2
hsa-mir-133a-1,1,Chi2
hsa-mir-133a-2,1,Chi2
hsa-mir-142,1,Chi2
hsa-mir-148a,1,Chi2
hsa-mir-203a,1,Chi2
hsa-mir-206,1,Chi2
hsa-mir-21,1,Chi2
hsa-mir-32,1,VT
hsa-mir-3202-2,1,VT
hsa-mir-375,1,Chi2
hsa-mir-4427,1,VT
hsa-mir-448,1,VT
hsa-mir-4489,1,LASSO
hsa-mir-451a,1,Chi2
hsa-mir-4529,1,LASSO
hsa-mir-4539,1,VT
hsa-mir-4652,1,VT
hsa-mir-4725,1,LASSO
hsa-mir-4771-1,1,SFS
hsa-mir-4796,1,LASSO
hsa-mir-5000,1,VT
hsa-mir-504,1,LASSO
hsa-mir-505,1,SFS
hsa-mir-5695,1,LASSO
hsa-mir-5703,1,LASSO
hsa-mir-6718,1,LASSO
hsa-mir-7107,1,SFS
hsa-mir-99b,1,Chi2
